,date,men_gold,men_silver,men_bronze,total_gold,total_silver,total_bronze,women_gold,women_silver,women_bronze,total_medals,men_total,women_total,Fencing,Judo,Skateboarding,Swimming,country,Canoe Slalom,Cycling Road,Cycling Mountain Bike,Diving,Rugby Sevens,Archery,Shooting,Artistic Gymnastics,Equestrian,Table Tennis,Cycling BMX Freestyle,Triathlon,Rowing,Athletics,Badminton,Tennis,Trampoline Gymnastics,Cycling BMX Racing,Sailing,Boxing,Golf,3x3 Basketball,Surfing,Cycling Track,Wrestling,Artistic Swimming,Weightlifting,Sport Climbing,Taekwondo,Canoe Sprint,Marathon Swimming,Hockey,Football,Volleyball,Breaking,Rhythmic Gymnastics,Beach Volleyball
98,2024-07-30,0,0,1,0,0,1,0,0,0,3,3,0,,,,,Croatia,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2024-07-30,0,0,1,0,0,1,0,0,0,3,3,0,"(0, 0, 1)",,,,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,2024-07-30,0,0,1,0,0,1,0,0,0,3,3,0,,"(0, 0, 1)",,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,2024-07-30,0,0,1,0,0,1,0,0,0,3,3,0,,,,,Guatemala,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2024-07-30,0,0,1,0,0,1,0,0,0,3,3,0,"(0, 0, 1)",,,,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,2024-07-30,0,0,1,0,0,1,0,0,0,3,3,0,,,,,Switzerland,,,,,,,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2024-07-30,0,0,1,0,0,1,0,0,0,3,3,0,,,,,Slovakia,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2024-07-30,0,0,1,0,0,1,0,0,0,3,3,0,,"(0, 0, 1)",,,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2024-07-30,0,0,1,0,0,1,0,0,0,3,3,0,"(0, 0, 1)",,,,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2024-07-31,5,4,1,2,0,0,10,7,3,6,30,60,,,,"(1, 2, 2)",China,,,,"(3, 0, 0)",,"(0, 1, 0)","(4, 2, 0)","(0, 2, 1)",,"(1, 0, 0)","(1, 0, 0)",,,,,,,,,,,,,,,,,,,,,,,,,,
108,2024-07-31,5,5,4,0,1,0,8,10,8,3,42,78,"(1, 4, 1)","(0, 2, 5)",,"(3, 1, 0)",France,"(1, 0, 0)",,"(1, 1, 0)",,"(1, 0, 0)","(0, 1, 0)",,,"(0, 1, 0)",,"(0, 0, 1)","(1, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,
109,2024-07-31,6,2,2,0,0,1,8,3,4,3,30,45,"(1, 0, 0)","(3, 1, 3)","(2, 1, 0)","(0, 1, 0)",Japan,,,,,,,,"(2, 0, 0)","(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,2024-07-31,0,4,1,0,1,0,7,6,3,3,15,48,,,,"(4, 5, 1)",Australia,"(2, 0, 0)","(1, 0, 0)",,,,,"(0, 0, 1)",,"(0, 1, 0)",,"(0, 0, 1)",,,,,,,,,,,,,,,,,,,,,,,,,,
